# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 13 11:55:02 BRT 2020 [seed=1589381700927]
# -beagle_GPU -beagle_order 1 apes.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	yule.birthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	speciation
25000	-1814.3792181747276	-0.26901012349246756	-1814.110208051235	0.062116217958076245	0.2290645787061161	29.27706318720486	28.760688380584664	0.3326870494057618	0.2402212162323831	0.14957313469242148	0.27751859966943376	1.0	1.0	-1814.110208051235	0.0	10.177683770666532
26000	-1814.2483261381221	0.5004552943674803	-1814.7487814324895	0.06000575698629198	0.22132263250166734	22.117198358588507	31.10729581739937	0.3360045362489409	0.2454008904483766	0.1532760312683394	0.2653185420343433	1.0	1.0	-1814.7487814324895	0.0	10.586740996461556
27000	-1815.2734056714796	0.6805580136434877	-1815.9539636851232	0.06111889393896626	0.23872865657267503	16.54450086316887	29.392022618595657	0.343861222318835	0.23649909472156597	0.14621794696960005	0.2734217359899992	1.0	1.0	-1815.9539636851232	0.0	10.080622397665348
28000	-1815.8599307767659	0.8119382687473102	-1816.6718690455132	0.06522926697953707	0.23701481108940292	24.78609957673348	21.109510967559554	0.3391413471109099	0.25692970542845994	0.13905531085303244	0.26487363660759794	1.0	1.0	-1816.6718690455132	0.0	10.17674226664438
29000	-1816.144279369178	0.28101519870894265	-1816.425294567887	0.06750060460307372	0.24913217557868336	19.96768698027511	29.021409617541003	0.31421281829255715	0.26484777571208284	0.15443110215664096	0.26650830383871926	1.0	1.0	-1816.425294567887	0.0	9.995983281310878
30000	-1813.4657026072093	0.055501199920925615	-1813.5212038071302	0.06047011451566283	0.23669702181575974	12.29268547297072	38.373830611009744	0.320061235949928	0.25774735888554157	0.1504524400891004	0.2717389650754302	1.0	1.0	-1813.5212038071302	0.0	9.635380000898103
31000	-1815.7241334896232	0.6154217996980176	-1816.3395552893212	0.059988127571674654	0.2509989176079098	15.756539314117258	28.282418535283828	0.31487471842136705	0.25387699551703036	0.1727491467423193	0.2584991393192835	1.0	1.0	-1816.3395552893212	0.0	9.83140305515691
32000	-1814.2452439730396	1.2270520690094777	-1815.472296042049	0.05932947271907886	0.22586093155672465	15.76357172753063	25.9184104793956	0.3326146844649769	0.2661784034886729	0.15516804443082347	0.246038867615527	1.0	1.0	-1815.472296042049	0.0	10.228133461008703
33000	-1814.2097761452562	0.06092535140988353	-1814.270701496666	0.06597521900499852	0.24289780309423464	27.114822489807608	24.06818328448142	0.32364682650314486	0.2737345172291146	0.15249877260808922	0.25011988365965154	1.0	1.0	-1814.270701496666	0.0	9.914271854453364
34000	-1815.4698377506181	1.551325064655881	-1817.021162815274	0.055879060382697326	0.2322984290707165	13.272744585939732	21.85505949400414	0.31160566788765753	0.2848020537344166	0.15415101341463536	0.24944126496329078	1.0	1.0	-1817.021162815274	0.0	9.845325549875502
